indexe,proj_id,coup_de_coeur
0,70,1
1,73,1
2,91,1
3,93,0
4,97,1
5,63,1
6,120,0
7,138,1
8,135,0
9,155,0
10,139,0
11,194,0
12,196,0
13,187,0
14,225,0
15,237,0
16,286,1
17,296,0
18,298,0
19,317,0
20,377,1
21,305,1
22,408,1
23,392,1
24,440,0
25,449,0
26,355,0
27,512,1
28,372,1
29,515,0
30,525,0
31,538,0
32,500,1
33,421,0
34,433,0
35,591,0
36,606,0
37,616,1
38,627,0
39,572,0
40,652,0
41,650,0
42,653,0
43,663,0
44,705,0
45,734,0
46,746,0
47,661,1
48,745,1
49,751,1
50,759,1
51,772,0
52,767,1
53,576,0
54,720,1
55,850,0
56,832,1
57,816,1
58,900,0
59,872,1
60,882,0
61,669,0
62,955,0
63,967,0
64,977,0
65,774,1
66,724,1
67,790,1
68,838,0
69,902,0
70,856,0
71,682,1
72,933,1
73,1083,0
74,735,0
75,645,0
76,1092,1
77,1166,0
78,875,0
79,1191,0
80,1203,0
81,1125,0
82,1216,0
83,1225,1
84,1214,1
85,1239,0
86,1144,0
87,1224,0
88,1268,0
89,1219,0
90,1256,1
91,1207,0
92,799,0
93,1309,0
94,1303,1
95,1269,1
96,924,0
97,1400,0
98,1401,0
99,1292,0
100,1410,1
101,1374,1
102,1137,0
103,479,0
104,1323,0
105,1475,0
106,897,1
107,1469,0
108,1492,1
109,1455,1
110,1507,0
111,1510,0
112,1418,1
113,1543,0
114,1550,0
115,1453,0
116,1567,0
117,1230,0
118,1603,0
119,1604,0
120,1491,0
121,1571,0
122,1651,0
123,1356,0
124,1725,0
125,1710,1
126,1761,0
127,1730,0
128,1791,1
129,1812,0
130,1542,0
131,1782,0
132,1838,0
133,1835,1
134,1735,1
135,1488,0
136,1898,1
137,1778,0
138,65,0
139,1834,0
140,1940,1
141,1979,0
142,1967,0
143,2016,0
144,2017,0
145,1864,0
146,1525,1
147,2052,0
148,2014,0
149,2110,0
150,1993,0
151,1540,1
152,1905,0
153,2130,0
154,1954,0
155,1964,1
156,2144,0
157,1866,1
158,1990,0
159,2140,0
160,2206,1
161,2200,0
162,2207,1
163,2251,0
164,2309,0
165,2329,0
166,2310,0
167,2247,0
168,2358,0
169,2367,1
170,2305,0
171,2388,0
172,2392,1
173,2395,1
174,2416,0
175,2372,0
176,2419,0
177,2428,0
178,2441,0
179,2449,0
180,2471,0
181,2490,0
182,2327,1
183,1733,1
184,2418,0
185,2482,1
186,2106,0
187,2107,1
188,2387,0
189,2550,0
190,1998,1
191,2595,0
192,2587,0
193,2604,0
194,2602,0
195,2613,0
196,2197,0
197,2561,0
198,2577,0
199,2666,0
200,2489,0
201,2708,1
202,2665,0
203,2729,1
204,2730,1
205,2519,0
206,2718,1
207,2656,0
208,2780,1
209,2786,1
210,2624,1
211,2805,0
212,2862,0
213,2871,0
214,2774,0
215,2640,0
216,2940,0
217,2938,0
218,1858,0
219,2394,0
220,2778,0
221,2924,0
222,2849,0
223,2960,1
224,2824,0
225,2219,0
226,3045,0
227,2268,0
228,3014,0
229,3091,0
230,3053,0
231,1874,1
232,3145,0
233,3139,0
234,2504,0
235,2950,0
236,3195,0
237,3064,0
238,3242,0
239,2988,0
240,1918,0
241,3216,1
242,3310,0
243,2911,1
244,3362,0
245,3236,0
246,3301,0
247,3405,1
248,3391,0
249,3408,0
250,3261,0
251,3462,0
252,3538,1
253,3504,0
254,2884,0
255,3166,1
256,2922,0
257,3620,0
258,3327,1
259,3646,0
260,3498,0
261,3671,0
262,3675,1
263,3239,0
264,3539,0
265,3640,1
266,1796,1
267,3379,1
268,3527,0
269,3718,1
270,2345,1
271,3847,0
272,3308,1
273,2588,0
274,3869,0
275,3860,0
276,3709,0
277,3819,0
278,3893,0
279,3079,0
280,4050,0
281,4065,0
282,3772,0
283,4080,0
284,4097,0
285,4075,0
286,4077,1
287,4177,1
288,4179,0
289,4007,0
290,4187,0
291,4198,0
292,4250,1
293,3963,0
294,3805,1
295,4266,1
